Date,PG,KO,PEP,WMT,COST,MO,PM,MDLZ,KMB,CL,GIS,HSY,SYY,KR,TAP,STZ,EL,CPB,CHD
2015-01-27,64.0655517578125,29.960107803344727,69.52346801757812,23.70806884765625,113.63632202148438,27.34693717956543,47.7003173828125,28.52686309814453,76.28652954101562,51.04905319213867,37.879581451416016,83.98762512207031,30.73941421508789,28.036617279052734,59.32638931274414,95.2729263305664,62.379390716552734,33.23738479614258,35.401065826416016
2015-01-28,63.07301330566406,29.6279239654541,68.80463409423828,23.515756607055664,112.5321044921875,27.071258544921875,47.104061126708984,28.20268440246582,75.54235076904297,50.62922286987305,37.17161178588867,82.83373260498047,30.286251068115234,27.850624084472656,59.06627655029297,94.41687774658203,61.205684661865234,32.716156005859375,35.22410202026367
2015-01-29,63.458160400390625,29.75514030456543,69.02750396728516,23.7595272064209,113.35420227050781,27.26173210144043,47.47817611694336,28.25802993774414,75.94886779785156,53.669166564941406,36.86231231689453,79.45667266845703,30.135190963745117,28.036617279052734,59.69358444213867,95.69239044189453,62.57065200805664,33.173118591308594,35.68162155151367
2015-01-30,62.43596649169922,29.09784507751465,67.41014099121094,23.017377853393555,115.24828338623047,26.61514663696289,46.90530776977539,27.86271858215332,74.39160919189453,52.495147705078125,36.07185363769531,78.6258773803711,29.583837509155273,27.919355392456055,58.08707809448242,94.5538330078125,61.37088394165039,32.659034729003906,34.92628860473633
2015-02-02,63.0507698059082,29.39468765258789,68.52430725097656,23.215103149414062,117.67430877685547,26.96600341796875,47.717864990234375,28.273839950561523,75.87310791015625,53.63805389404297,36.47739791870117,80.0490493774414,29.024944305419922,28.174087524414062,58.316585540771484,95.28147888183594,62.448951721191406,33.08030319213867,35.42696762084961
2015-02-03,63.66558074951172,29.42294692993164,69.1496810913086,23.34511375427246,123.92073059082031,27.19657325744629,48.074424743652344,28.51105308532715,75.91446685791016,53.793556213378906,36.60798645019531,80.54135131835938,29.86329460144043,28.505638122558594,59.54823684692383,95.298583984375,63.32704162597656,33.38018035888672,35.69024658203125
2015-02-04,63.54706573486328,29.458290100097656,69.43721008300781,23.469709396362305,125.66970825195312,27.081281661987305,47.98090744018555,28.479413986206055,75.70084381103516,53.80131530761719,36.58049774169922,81.31058502197266,30.104976654052734,28.849323272705078,59.41819763183594,95.93208312988281,63.074913024902344,33.86572265625,36.08302688598633
2015-02-05,64.22112274169922,29.536039352416992,69.44439697265625,23.640348434448242,124.1458969116211,26.900848388671875,48.267333984375,28.669179916381836,75.81107330322266,54.26002883911133,36.7042236328125,81.39522552490234,30.11254119873047,28.93019676208496,59.831295013427734,96.44574737548828,68.1609115600586,34.215576171875,35.9233283996582
2015-02-06,63.413719177246094,29.295719146728516,69.51627349853516,23.65389633178711,123.82113647460938,26.730432510375977,47.507408142089844,28.392452239990234,75.14269256591797,53.87907028198242,36.53925704956055,81.1798324584961,30.399532318115234,28.994890213012695,59.028038024902344,96.65977478027344,69.16071319580078,34.351253509521484,35.51813888549805
2015-02-09,62.9989013671875,29.140243530273438,68.9843521118164,23.26927375793457,122.8552017211914,26.645214080810547,47.250205993652344,28.234315872192383,74.5707778930664,53.70024108886719,36.429290771484375,80.73368072509766,30.286251068115234,28.647151947021484,58.400733947753906,95.76090240478516,69.08247375488281,33.95138931274414,35.457462310791016
2015-02-10,63.250762939453125,29.967166900634766,70.43634796142578,23.6430606842041,123.42146301269531,26.950969696044922,47.396339416503906,28.31338119506836,75.25984191894531,53.987892150878906,36.587371826171875,81.44905853271484,30.059669494628906,28.986799240112305,56.00623321533203,97.0792465209961,69.56062316894531,34.29411697387695,35.92115783691406
2015-02-11,63.43593215942383,29.945974349975586,72.16866302490234,23.3857479095459,123.08344268798828,27.44717788696289,48.214725494384766,29.048696517944336,75.31495666503906,54.01124954223633,36.53925704956055,81.67215728759766,29.395029067993164,29.06990623474121,55.8455924987793,97.19053649902344,69.86492156982422,34.15132522583008,36.077171325683594
