Date,JNJ,PFE,MRK,ABBV,LLY,BMY,GILD,AMGN,MDT,SYK,ISRG,DHR,TMO,UNH,HUM,CI,HCA,CVS,ZBH,REGN
2018-02-08,101.05989074707031,22.568344116210938,41.13969802856445,77.60717010498047,65.86000061035156,47.43605041503906,58.2861328125,135.6887664794922,63.93803787231445,136.1401824951172,127.29000091552734,78.8233871459961,194.7179718017578,190.4562225341797,246.1434783935547,173.0352020263672,89.34213256835938,55.001651763916016,105.40919494628906,320.840576171875
2018-02-09,103.59516906738281,22.924015045166016,41.244930267333984,79.62461853027344,67.65271759033203,47.44362258911133,59.10580825805664,135.9552459716797,64.83533477783203,139.09266662597656,130.97000122070312,80.79058074951172,196.138671875,194.41563415527344,248.91107177734375,177.14918518066406,91.0829849243164,54.09729766845703,106.1938705444336,334.5246887207031
2018-02-12,104.18699645996094,23.259553909301758,41.66586685180664,80.07533264160156,67.67047882080078,47.791683197021484,59.716861724853516,137.0603485107422,65.45531463623047,141.33705139160156,132.836669921875,81.60306549072266,200.3812713623047,198.57740783691406,250.53407287597656,176.95724487304688,91.49259185791016,54.47151184082031,106.3124771118164,340.7799987792969
2018-02-13,103.93909454345703,23.447452545166016,41.26747512817383,80.02525329589844,67.63496398925781,48.32891845703125,60.2011833190918,137.8990020751953,65.43898010253906,142.1648406982422,134.0,81.23527526855469,199.3917236328125,199.41329956054688,251.490966796875,178.67596435546875,92.08838653564453,54.65861892700195,105.774169921875,322.77984619140625
2018-02-14,103.70713806152344,23.615230560302734,41.26747512817383,80.89803314208984,68.87147521972656,49.44881057739258,60.96868896484375,141.76864624023438,66.77680206298828,143.7101593017578,136.6300048828125,82.19322204589844,204.10452270507812,201.2961883544922,250.92803955078125,178.77647399902344,93.0100326538086,54.40913772583008,107.38912963867188,328.8660888671875
2018-02-15,104.95479583740234,23.96418571472168,42.08681869506836,82.20008087158203,69.7566146850586,52.1955451965332,60.76750946044922,144.99058532714844,67.6578140258789,145.82569885253906,139.52000427246094,83.3649673461914,206.46592712402344,198.86776733398438,250.90931701660156,175.47613525390625,93.97818756103516,54.95487594604492,109.29602813720703,331.3423156738281
2018-02-16,106.4903793334961,24.333282470703125,42.31231689453125,84.8470687866211,70.60601806640625,52.1804084777832,60.13410949707031,144.95114135742188,67.95964050292969,147.0490264892578,138.66000366210938,83.42485046386719,206.35813903808594,201.81527709960938,252.36355590820312,177.18572998046875,94.02476501464844,56.05411148071289,109.92557525634766,330.3179931640625
2018-02-19,,,,,,,,,,,,,,,,,,,,
2018-02-20,104.6668701171875,24.16550636291504,41.327606201171875,84.4035415649414,69.3364028930664,50.9621696472168,60.3129768371582,144.50096130371094,66.5728759765625,146.00962829589844,140.586669921875,82.83468627929688,203.64402770996094,199.43089294433594,250.79676818847656,176.07957458496094,94.02476501464844,55.087406158447266,108.31977844238281,321.2582702636719
2018-02-21,103.89910888671875,23.997745513916016,41.00437927246094,84.35343933105469,69.3364028930664,50.34169006347656,60.126670837402344,144.06663513183594,65.84684753417969,145.21861267089844,138.85333251953125,83.2623291015625,205.55467224121094,198.08465576171875,249.90554809570312,175.21102905273438,93.41963195800781,53.60614013671875,108.28324890136719,315.7587585449219
2018-02-22,103.89910888671875,23.98431396484375,41.0194091796875,84.10304260253906,69.01454162597656,49.895259857177734,59.165409088134766,144.0824432373047,65.59400939941406,146.21200561523438,139.92999267578125,83.27088928222656,204.90802001953125,199.8092041015625,251.2470245361328,175.43955993652344,93.59651184082031,53.01361846923828,107.27962493896484,314.0780944824219
2018-02-23,105.58662414550781,24.333282470703125,41.244930267333984,84.95439910888672,70.4093017578125,51.41616439819336,60.290611267089844,147.4149932861328,65.57766723632812,148.73223876953125,142.50332641601562,84.95582580566406,207.4359130859375,202.5104217529297,254.41802978515625,178.0816650390625,93.87582397460938,53.13836669921875,108.43840026855469,322.07373046875
2018-02-26,106.30298614501953,24.89027214050293,42.13943862915039,86.95037078857422,71.68788146972656,51.93069839477539,60.946346282958984,148.86019897460938,67.2336196899414,152.47584533691406,144.0,86.23873901367188,209.748291015625,205.94192504882812,257.598388671875,179.07823181152344,93.11241912841797,53.19293975830078,109.3781509399414,323.09808349609375
2018-02-27,105.98099517822266,24.695667266845703,41.13216781616211,84.6038589477539,70.3646240234375,51.33292007446289,59.88077926635742,146.72006225585938,66.27105712890625,150.9581756591797,143.66000366210938,85.16106414794922,206.4267120361328,204.58688354492188,259.7937316894531,179.9650115966797,94.54605102539062,53.20853805541992,107.79055786132812,319.1996765136719
2018-02-28,104.54026794433594,24.36683464050293,40.7563362121582,82.86539459228516,68.86254119873047,50.09197998046875,58.666168212890625,145.1248321533203,65.16978454589844,149.15536499023438,142.14999389648438,83.63008880615234,204.36907958984375,198.99098205566406,255.00914001464844,179.08734130859375,92.71511840820312,52.803131103515625,106.06614685058594,318.6725769042969
2018-03-01,102.4475326538086,23.91050148010254,40.365455627441406,81.44171905517578,68.3976058959961,49.70608139038086,57.77197265625,144.7457733154297,63.87274932861328,146.51551818847656,137.3766632080078,82.09915924072266,201.06716918945312,197.48635864257812,253.0389862060547,176.82920837402344,92.88324737548828,52.350955963134766,103.6026611328125,320.00518798828125
2018-03-02,103.68708038330078,24.125246047973633,40.861568450927734,82.30022430419922,69.05030822753906,50.069278717041016,58.6363525390625,146.159423828125,63.89723205566406,147.9044647216797,139.1300048828125,82.29582977294922,202.2723388671875,198.1374969482422,253.11399841308594,176.50009155273438,94.70486450195312,52.59264373779297,106.79605865478516,328.64727783203125
2018-03-05,104.46780395507812,24.239328384399414,40.891632080078125,82.74380493164062,69.47050476074219,50.56111526489258,58.062591552734375,150.14743041992188,65.04742431640625,149.50491333007812,141.4166717529297,83.45903778076172,202.58587646484375,200.94427490234375,253.85507202148438,175.84188842773438,94.45264434814453,53.25531005859375,107.78145599365234,332.0683288574219
2018-03-06,103.20410919189453,24.07826805114746,40.81647872924805,81.95683288574219,69.01454162597656,49.53959274291992,59.10580825805664,150.32115173339844,65.59400939941406,149.67965698242188,142.1666717529297,83.60445404052734,205.8780059814453,199.00851440429688,256.2192687988281,177.47830200195312,94.34056091308594,52.740787506103516,107.74496459960938,331.64068603515625
