Date,XOM,CVX,COP,EOG,SLB,HAL,DVN,OXY,MPC,VLO,PSX,KMI,WMB,EQT
2016-05-18,58.67031478881836,66.75721740722656,32.320640563964844,59.558380126953125,55.45653533935547,33.374534606933594,24.131301879882812,56.64140319824219,27.33395004272461,38.20026397705078,54.46722412109375,10.455278396606445,12.43695068359375,35.219322204589844
2016-05-19,59.16934585571289,66.61708068847656,32.33555603027344,59.313941955566406,56.2371940612793,33.25853729248047,23.975717544555664,56.66410446166992,26.85780143737793,37.496360778808594,54.13261032104492,10.590264320373535,12.860870361328125,34.73331069946289
2016-05-20,58.926387786865234,66.57706451416016,32.49962615966797,59.93611526489258,56.81320571899414,33.89652633666992,24.22325325012207,56.75496292114258,27.252113342285156,37.990455627441406,54.306884765625,10.890917778015137,13.225078582763672,34.79843521118164
2016-05-23,58.83447265625,66.30352020263672,32.50706481933594,60.19535446166992,56.85110092163086,34.35222625732422,24.428356170654297,56.68682098388672,26.463491439819336,37.25840759277344,54.251129150390625,10.694574356079102,13.105667114257812,34.658145904541016
2016-05-24,58.880428314208984,66.84395599365234,32.410125732421875,61.09901428222656,57.31345748901367,34.319087982177734,24.392993927001953,57.63325881958008,26.642047882080078,37.867305755615234,55.56171798706055,10.627081871032715,13.213138580322266,35.19428253173828
2016-05-25,59.2678337097168,67.8980941772461,33.484012603759766,61.53602600097656,59.049068450927734,35.172508239746094,25.772127151489258,57.671104431152344,26.54532241821289,37.36789321899414,55.861507415771484,10.946138381958008,12.68772029876709,35.83061981201172
2016-05-26,58.965789794921875,67.71794128417969,33.35722351074219,60.95828628540039,59.02629852294922,35.32994079589844,25.390214920043945,57.62566375732422,25.704626083374023,37.00529098510742,55.79875946044922,10.995224952697754,12.425008773803711,36.6373176574707
2016-05-27,59.10368728637695,68.06487274169922,33.058937072753906,60.41756820678711,58.86611557006836,35.4297981262207,25.390214920043945,57.65596008300781,26.12126350402832,37.33367156982422,56.210079193115234,10.952277183532715,12.825041770935059,36.65736389160156
2016-05-30,,,,,,,,,,,,,,
2016-05-31,58.45362854003906,67.38435363769531,32.65623092651367,60.262020111083984,58.202484130859375,35.09696578979492,25.524585723876953,57.11838912963867,25.91294288635254,37.422607421875,56.02185821533203,11.09339714050293,13.231050491333008,36.70245361328125
2016-06-01,58.59805679321289,67.47108459472656,32.857582092285156,59.81022644042969,57.86684799194336,35.07199478149414,25.567020416259766,57.11838912963867,27.110754013061523,38.14097213745117,56.363441467285156,11.019765853881836,13.487788200378418,36.70245361328125
2016-06-02,58.13188552856445,67.07077026367188,33.096214294433594,59.617645263671875,57.554100036621094,35.05534744262695,26.033811569213867,56.944252014160156,27.289304733276367,38.12043380737305,56.3494873046875,11.019765853881836,13.49376106262207,36.97303771972656
2016-06-03,58.02682876586914,67.15750885009766,32.947078704833984,59.03989791870117,57.69140625,35.654449462890625,25.404361724853516,56.656517028808594,26.38165283203125,37.73046875,55.861507415771484,11.03817367553711,13.631083488464355,36.93294906616211
2016-06-06,58.66373825073242,67.49778747558594,33.94636535644531,60.19535446166992,60.33073806762695,37.35188674926758,26.56424331665039,57.095672607421875,26.255172729492188,37.5731201171875,56.30072021484375,11.39404582977295,13.959470748901367,37.11833572387695
2016-06-07,59.56333541870117,68.93218994140625,35.45277404785156,63.26921081542969,61.101139068603516,38.34205627441406,27.41294288635254,58.20109558105469,27.266990661621094,38.065711975097656,56.69110107421875,11.326550483703613,14.072916984558105,37.69456100463867
2016-06-08,59.615867614746094,68.77875518798828,35.415496826171875,63.22477340698242,61.64274978637695,38.516788482666016,26.578388214111328,57.681148529052734,27.438106536865234,37.21052551269531,57.42308807373047,11.117938995361328,13.840060234069824,37.609371185302734
2016-06-09,59.53705596923828,68.59192657470703,34.729408264160156,62.64704132080078,60.99437713623047,37.85944747924805,26.486452102661133,57.80350112915039,27.490188598632812,36.81373596191406,56.55865478515625,11.09339714050293,13.899765014648438,39.037384033203125
