Date,JPM,BAC,C,WFC,GS,MS,BLK,BK,STT,TROW,SCHW,AXP,COF,USB,PNC,TFC,CMA,MTB,RF,CB,TRV,AIG,MET,PRU
2019-07-11,95.93095397949219,25.167776107788086,56.74108123779297,39.56077194213867,181.100830078125,36.01043701171875,411.09716796875,36.1005744934082,44.95874786376953,85.12910461425781,36.9071044921875,117.10853576660156,81.13340759277344,41.07722091674805,111.5334701538086,37.44559097290039,53.29566955566406,140.93418884277344,11.664630889892578,133.9107666015625,133.1830291748047,47.153656005859375,40.45732498168945,72.99578857421875
2019-07-12,96.93985748291016,25.244930267333984,56.86785125732422,39.745399475097656,183.32012939453125,36.572845458984375,413.1437072753906,36.02613830566406,45.08127212524414,86.1336441040039,36.60609817504883,117.73419952392578,81.45540618896484,41.177093505859375,112.10906219482422,37.5497932434082,53.508697509765625,141.1775665283203,11.656974792480469,134.42372131347656,134.02174377441406,47.825096130371094,40.85852813720703,73.98455810546875
2019-07-15,95.7627944946289,25.047765731811523,56.82030487060547,39.19990921020508,181.2979278564453,36.21419906616211,412.49298095703125,35.68704605102539,45.29365158081055,85.95455169677734,36.76115798950195,118.29547882080078,80.27477264404297,40.80834197998047,110.54004669189453,37.19253158569336,52.43616485595703,139.76632690429688,11.47315788269043,136.21463012695312,135.27992248535156,47.79959487915039,40.74618911743164,73.5370864868164
2019-07-16,96.78852081298828,24.85060691833496,56.51128005981445,38.0166015625,184.67404174804688,36.21419906616211,408.6138610839844,35.65398025512695,44.77903366088867,85.93897247314453,37.974365234375,117.82621765136719,80.43576049804688,40.74687957763672,109.40467071533203,36.94691467285156,52.70798110961914,138.7769012451172,11.442523002624512,136.28660583496094,135.0702667236328,47.62111282348633,40.521514892578125,73.6814193725586
2019-07-17,95.83846282958984,25.022050857543945,56.1151008605957,37.94107437133789,182.7718048095703,35.67625427246094,403.330322265625,36.48929214477539,44.59116744995117,84.78648376464844,37.59124755859375,116.9245376586914,78.87948608398438,41.65340042114258,110.13007354736328,36.94691467285156,50.827396392822266,138.2334442138672,11.266365051269531,135.39561462402344,133.13931274414062,47.0601692199707,40.088226318359375,72.25239562988281
2019-07-18,96.41017150878906,25.270645141601562,56.88368606567383,38.453006744384766,183.81715393066406,36.21419906616211,406.87548828125,37.101295471191406,45.979801177978516,85.37051391601562,37.837547302246094,118.13905334472656,79.38928985595703,42.39857864379883,110.40830993652344,37.98147964477539,50.937564849853516,132.00466918945312,11.327638626098633,135.55767822265625,133.42767333984375,47.25564956665039,40.12031173706055,73.21228790283203
2019-07-19,95.46011352539062,25.202062606811523,56.1943359375,38.62923049926758,182.96029663085938,36.18159866333008,405.2484436035156,37.440399169921875,49.07561111450195,84.46721649169922,38.96864318847656,114.84515380859375,81.07975006103516,42.25260925292969,110.3685531616211,37.698665618896484,51.91460037231445,132.09388732910156,11.588043212890625,133.44281005859375,131.26075744628906,47.54462432861328,39.8956413269043,72.9091567993164
2019-07-22,96.07386016845703,25.347787857055664,56.34490203857422,39.00687789916992,183.37156677246094,36.271270751953125,405.5138854980469,37.895259857177734,48.38128662109375,84.7786865234375,39.37001419067383,115.93085479736328,82.03678894042969,42.506126403808594,110.95685577392578,37.5423583984375,51.67216491699219,131.00711059570312,11.580385208129883,133.00181579589844,130.8064422607422,47.493621826171875,39.9277458190918,72.73594665527344
2019-07-23,97.83106231689453,25.93069839477539,57.042171478271484,39.61112594604492,188.02435302734375,36.76031494140625,408.8622131347656,38.639610290527344,48.9285774230957,86.07135009765625,39.70751190185547,117.95503234863281,84.38017272949219,43.04389572143555,111.83929443359375,37.94427490234375,52.34067153930664,131.88304138183594,11.925039291381836,132.05685424804688,128.87547302246094,47.842105865478516,40.23265075683594,73.52984619140625
2019-07-24,98.22623443603516,26.290725708007812,57.850379943847656,40.66014862060547,190.25228881835938,37.08635330200195,408.5965881347656,38.95388412475586,48.683528900146484,88.20504760742188,40.391666412353516,117.72500610351562,86.68780517578125,43.474098205566406,112.35603332519531,38.361083984375,53.16343307495117,132.78326416015625,12.216081619262695,136.41258239746094,130.05508422851562,48.777008056640625,40.41720199584961,74.01342010498047
2019-07-25,97.28458404541016,26.007843017578125,56.56674575805664,40.3580207824707,188.49569702148438,36.572845458984375,405.78790283203125,39.111026763916016,48.585514068603516,88.71122741699219,40.200103759765625,116.98893737792969,85.77546691894531,43.4510498046875,111.96647644042969,38.14523696899414,52.73735046386719,132.45884704589844,12.03991985321045,135.89962768554688,129.74050903320312,48.51353073120117,40.23265075683594,73.94844818115234
2019-07-26,97.71336364746094,26.376449584960938,57.1768798828125,41.37348175048828,190.3465576171875,37.28197479248047,409.4702453613281,39.627174377441406,49.3124885559082,89.70794677734375,40.181861877441406,116.64849853515625,87.72533416748047,44.08100128173828,113.52466583251953,38.44294738769531,53.67766571044922,133.78086853027344,12.285008430480957,137.66346740722656,130.99864196777344,48.675010681152344,40.673973083496094,74.5330581665039
2019-07-29,97.40228271484375,26.16214370727539,56.85993194580078,40.517478942871094,188.7870635986328,36.866275787353516,409.59002685546875,38.97783279418945,48.29961395263672,89.52108764648438,39.871726989746094,117.02576446533203,86.68780517578125,43.83516311645508,112.85688018798828,38.10802459716797,52.95772933959961,132.76699829101562,12.108853340148926,137.94248962402344,129.9589385986328,48.003570556640625,40.12031173706055,73.9773178100586
2019-07-30,97.18367004394531,26.47931480407715,56.82030487060547,40.744056701660156,189.7124481201172,36.69377899169922,409.6756591796875,39.160980224609375,48.09540939331055,89.83255004882812,39.24232482910156,116.36331176757812,81.58062744140625,43.896629333496094,112.8250732421875,38.24943161010742,53.795204162597656,133.39157104492188,12.292667388916016,137.969482421875,128.98033142089844,47.86758041381836,40.12833786010742,73.86184692382812
2019-07-31,97.52840423583984,26.29929542541504,56.38450622558594,40.626583099365234,188.6242218017578,36.6034049987793,400.4872131347656,39.06106948852539,47.450103759765625,88.29849243164062,39.42473602294922,114.43112182617188,82.66288757324219,43.9043083190918,113.60417938232422,38.353633880615234,53.77314758300781,133.21311950683594,12.200763702392578,137.54653930664062,128.1066131591797,47.58711624145508,39.65492248535156,73.11848449707031
