Date,AMZN,TSLA,HD,LOW,MCD,SBUX,NKE,TGT,BKNG,MAR,HLT,MGM,ROST,TJX,GM,F,ULTA,ORLY,AZO,PVH,TPR,CCL,RCL,EBAY,LULU
2022-11-23,94.12999725341797,183.1999969482422,296.108642578125,198.85525512695312,253.52330017089844,92.54022979736328,100.82805633544922,147.23287963867188,1937.743408203125,156.69049072265625,137.29225158691406,35.877044677734375,112.01038360595703,77.26303100585938,38.78776931762695,11.04769229888916,447.3699951171875,56.72133255004883,2516.580078125,61.37864303588867,33.80168914794922,9.729999542236328,58.51420974731445,42.48435592651367,360.5299987792969
2022-11-24,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-25,93.41000366210938,182.86000061035156,300.5938720703125,198.8081512451172,255.12823486328125,92.57740783691406,100.17572784423828,147.2058563232422,1952.6790771484375,157.70933532714844,137.0048828125,35.727054595947266,111.92349243164062,77.73308563232422,39.12622833251953,11.087063789367676,448.3500061035156,57.064666748046875,2562.1201171875,62.91981887817383,33.90229034423828,9.729999542236328,58.849483489990234,42.30588912963867,361.1600036621094
2022-11-28,93.94999694824219,182.9199981689453,293.72320556640625,196.98939514160156,253.1614532470703,91.74052429199219,99.2303237915039,148.9988250732422,1952.9447021484375,154.17733764648438,135.76614379882812,34.917118072509766,112.3386001586914,76.77378845214844,38.08183288574219,10.81146240234375,457.239990234375,56.83733367919922,2545.97998046875,62.034873962402344,33.362709045410156,9.319999694824219,57.291465759277344,41.63899230957031,363.2799987792969
2022-11-29,92.41999816894531,180.8300018310547,290.9970397949219,195.50991821289062,251.79766845703125,91.74052429199219,100.44989013671875,149.89984130859375,1984.685302734375,156.47703552246094,137.5003662109375,35.8570442199707,112.74404907226562,76.89847564697266,38.43963623046875,10.827211380004883,449.8800048828125,56.64866638183594,2556.050048828125,64.55001831054688,34.0669059753418,9.75,59.09600067138672,41.11298370361328,363.32000732421875
2022-11-30,96.54000091552734,194.6999969482422,300.1978759765625,200.2970733642578,254.50326538085938,95.0322494506836,103.70210266113281,150.53054809570312,2045.97265625,160.44569396972656,141.33551025390625,36.85696029663086,113.59356689453125,76.79297637939453,39.22293472290039,10.945324897766113,464.8399963378906,57.63600158691406,2579.0,66.83832550048828,34.5424690246582,9.930000305175781,59.09600067138672,42.897216796875,380.30999755859375
2022-12-01,95.5,194.6999969482422,303.0517272949219,203.05816650390625,255.0723114013672,96.1202163696289,105.04459381103516,148.69248962402344,2027.1212158203125,160.2904510498047,141.01840209960938,37.266929626464844,113.89283752441406,76.49557495117188,39.184173583984375,11.087063789367676,472.5299987792969,57.14533233642578,2552.969970703125,73.14608764648438,35.191802978515625,9.970000267028809,60.06237030029297,42.63289260864258,381.82000732421875
2022-12-02,94.12999725341797,194.86000061035156,303.90411376953125,202.45506286621094,255.0723114013672,97.68238067626953,106.40067291259766,147.90863037109375,2051.8662109375,160.71737670898438,140.14633178710938,37.07694625854492,114.87747955322266,76.9272689819336,38.67049789428711,10.913827896118164,471.3299865722656,57.227333068847656,2571.590087890625,72.55908203125,35.49361038208008,10.0,59.667938232421875,42.67064666748047,385.989990234375
2022-12-05,91.01000213623047,182.4499969482422,296.5750732421875,194.2942657470703,253.38372802734375,96.2875747680664,103.95403289794922,139.5923614501953,2023.41162109375,157.23385620117188,137.88687133789062,37.79688262939453,113.5902099609375,76.22696685791016,37.59469985961914,10.535860061645508,472.5199890136719,56.206668853759766,2526.919921875,70.80802154541016,33.975460052490234,9.680000305175781,58.59309768676758,41.48115921020508,381.1300048828125
2022-12-06,88.25,179.82000732421875,294.13818359375,190.27044677734375,253.5516815185547,94.9206771850586,102.35138702392578,139.7004852294922,2009.3125,155.71044921875,136.3310089111328,37.316925048828125,112.786865234375,76.13104248046875,36.84843063354492,10.457115173339844,465.5799865722656,55.310665130615234,2456.919921875,71.26568603515625,34.10349655151367,9.300000190734863,56.8280143737793,40.92417526245117,370.0
